Robots,Planners,0
irb_140,RRTConnect,0.17368009999999995
irb_140,PRM,0.40461505
irb_140,RRT,1.38082622
irb_140,LazyPRM,0.18478129000000001
irb_140,LBKPIECE,0.9635673200000001
irb_140,BKPIECE,0.7330438000000001
irb_140,KPIECE,0.61586089
irb_140,EST,0.5570932200000001
kr6,RRTConnect,0.14380922
kr6,PRM,0.43838228
kr6,RRT,4.36699151
kr6,LazyPRM,0.11142614
kr6,LBKPIECE,0.63281775
kr6,BKPIECE,0.5493651599999999
kr6,KPIECE,0.94801692
kr6,EST,0.7959031
ur5,RRTConnect,0.07220295
ur5,PRM,0.50693446
ur5,RRT,4.87325173
ur5,LazyPRM,0.12921984
ur5,LBKPIECE,4.288843870000001
ur5,BKPIECE,2.0388186000000004
ur5,KPIECE,0.42188617
ur5,EST,0.23886111000000004
